UNQE_FIRE_,Calculated.Acres,size_class,latest_out,duration_hrs,Fire.Mgmt.Complexity,fire_mgmt_n,Incident.Type.Category,AcresTribal,Calendar.Year,GIS_ACRES,FIRE_YEAR_,is_ifph,is_inform
2020-OR952S-020360,116.97,Class D,2020-10-17T19:26:00Z,213.8,NA,NA,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020220,74.41,Class C,2020-08-30T21:57:00Z,334.5833333333333,NA,NA,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020144,112.23,Class D,2020-09-30T23:40:00Z,1344.0666666666666,NA,NA,WF,0,2020,NA,NA,FALSE,TRUE
2020-ORRFPN-000480,306.56,Class E,NA,NA,Type 3 Incident,3,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020139,233.05,Class D,2020-08-11T17:53:00Z,138.51666666666668,Type 4 Incident,4,WF,0,2020,NA,NA,FALSE,TRUE
2020-ORRFPN-000519,218.12,Class D,NA,NA,NA,NA,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR951S-000655,7.76,Class B,2020-08-28T22:07:00Z,288.95,NA,NA,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR982S-200249,0.12,Class A,2020-07-29T22:22:00Z,44.75,NA,NA,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020208,9.53,Class B,2020-08-10T22:32:00Z,58.83444444444444,NA,NA,WF,0,2020,NA,NA,FALSE,TRUE
2020-ORBENN-000649,39.29,Class C,NA,NA,NA,NA,WF,0,2020,NA,NA,FALSE,TRUE
2021-OR955S-000041,210.26,Class D,2021-06-03T22:45:00Z,1607.8833333333334,Type 4 Incident,4,WF,0,2021,NA,NA,FALSE,TRUE
2020-ORHINN-002012,0.15,Class A,2020-07-28T20:00:00Z,1871,NA,NA,WF,0,2020,NA,NA,FALSE,TRUE
2021-OR982S-210132,1836.3485,Class F,2021-09-17T23:32:00Z,3650.45,Type 4 Incident,4,WF,0,2021,NA,NA,FALSE,TRUE
2020-ORNGIN-000410,31.06,Class C,NA,NA,NA,NA,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020310,22.49,Class C,2020-08-30T19:00:00Z,212.5036111111111,NA,NA,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020097,9.33,Class B,2020-07-31T17:06:00Z,137.5872222222222,NA,NA,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020262,5.36,Class B,2020-08-21T18:47:00Z,49.7025,NA,NA,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020280,4.74,Class B,NA,NA,NA,NA,WF,0,2020,NA,NA,FALSE,TRUE
2020-ORNMAN-000364,4.69,Class B,NA,NA,NA,NA,WF,0,2020,NA,NA,FALSE,TRUE
