UNQE_FIRE_,Calculated.Acres,Containment.Date.Time,Control.Date.Time,Fire.Mgmt.Complexity,FireOutDateTime,Incident.Type.Category,AcresTribal,Calendar.Year,GIS_ACRES,FIRE_YEAR_,is_ifph,is_inform
2020-OR952S-020360,116.97,2020-10-09,2020-10-15,NA,2020-10-17,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020220,74.41,2020-08-17,2020-08-19,NA,2020-08-30,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020144,112.23,2020-08-06,2020-08-11,NA,2020-09-30,WF,0,2020,NA,NA,FALSE,TRUE
2020-ORRFPN-000480,306.56,NA,NA,Type 3 Incident,2020-09-18,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020139,233.05,2020-08-09,2020-08-09,Type 4 Incident,2020-08-11,WF,0,2020,NA,NA,FALSE,TRUE
2020-ORRFPN-000519,218.12,2020-08-03,NA,NA,2020-09-11,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR951S-000655,7.76,2020-08-18,2020-08-18,NA,2020-08-28,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR982S-200249,0.12,2020-07-28,2020-07-28,NA,2020-07-29,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020208,9.53,2020-08-08,2020-08-08,NA,2020-08-10,WF,0,2020,NA,NA,FALSE,TRUE
2020-ORBENN-000649,39.29,NA,NA,NA,NA,WF,0,2020,NA,NA,FALSE,TRUE
2021-OR955S-000041,210.26,2021-03-31,2021-04-02,Type 4 Incident,2021-06-03,WF,0,2021,NA,NA,FALSE,TRUE
2020-ORHINN-002012,0.15,2020-05-11,2020-05-12,NA,2020-07-28,WF,0,2020,NA,NA,FALSE,TRUE
2021-OR982S-210132,1836.3485,2021-04-23,2021-04-26,Type 4 Incident,2021-09-17,WF,0,2021,NA,NA,FALSE,TRUE
2020-ORNGIN-000410,31.06,NA,NA,NA,NA,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020310,22.49,2020-08-28,2020-08-29,NA,2020-08-30,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020097,9.33,2020-07-26,2020-07-31,NA,2020-07-31,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020262,5.36,2020-08-19,2020-08-19,NA,2020-08-21,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020280,4.74,2020-08-20,NA,NA,2020-08-23,WF,0,2020,NA,NA,FALSE,TRUE
2020-ORNMAN-000364,4.69,NA,NA,NA,NA,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020074,1.81,2020-07-06,2020-07-07,NA,2020-07-12,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR981S-200144,0.03,2020-06-07,2020-06-07,NA,2020-06-23,WF,0,2020,NA,NA,FALSE,TRUE
2020-ORRFPN-000839,23.62,NA,NA,NA,2020-09-19,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020177,4.86,2020-08-07,2020-08-07,NA,2020-08-10,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020105,4.03,2020-07-30,2020-07-30,NA,2020-08-03,WF,0,2020,NA,NA,FALSE,TRUE
2020-ORJEFN-000800,43.07,NA,NA,NA,NA,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020114,0.08,2020-07-31,2020-07-31,NA,2020-08-03,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR981S-200418,6.98,NA,NA,NA,2020-12-14,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR981S-200162,0.16,2020-06-27,2020-06-27,NA,2020-07-03,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020297,92.23,2020-08-28,2020-08-29,NA,2020-08-30,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020161,5.72,2020-08-07,2020-08-08,NA,2020-08-10,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020081,58.56,2020-07-13,2020-07-15,NA,2020-07-23,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020354,675.84,2020-09-23,2020-09-24,Type 4 Incident,2020-10-11,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR982S-200349,7.45,2020-08-23,2020-08-23,NA,2020-08-23,WF,0,2020,NA,NA,FALSE,TRUE
2020-ORVAD-000090,0.1,2020-07-20,2020-07-20,NA,2020-10-19,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020106,1.15,2020-07-30,2020-07-30,NA,2020-08-05,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020299,88.16,2020-08-28,2020-09-11,NA,2020-08-30,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR951S-000281,947.71,NA,NA,Type 4 Incident,2020-07-10,WF,0,2020,NA,NA,FALSE,TRUE
2020-ORNMAN-000535,3.47,2020-08-02,2020-08-04,NA,2020-08-06,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020224,0.03,2020-08-17,2020-08-17,NA,2020-08-23,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020038,0.22,2020-05-01,2020-05-01,NA,2020-05-11,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020232,0.11,2020-08-18,2020-08-18,NA,2020-08-20,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020279,475.77,2020-08-28,2020-08-29,Type 2 Incident,2020-08-30,WF,0,2020,NA,NA,FALSE,TRUE
2021-OR952S-021044,3.82,2021-04-20,2021-04-22,NA,2021-05-05,WF,0,2021,NA,NA,FALSE,TRUE
2020-OR952S-020078,0.15,2020-07-08,2020-07-08,NA,2020-07-11,WF,0,2020,NA,NA,FALSE,TRUE
2020-ORPRD-000473,100.6279,2020-08-06,NA,NA,2020-10-27,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020272,14.98,2020-08-20,2020-08-29,NA,2020-08-30,WF,0,2020,NA,NA,FALSE,TRUE
2021-OR954S-000182,0.11,2021-05-10,2021-05-10,NA,2021-05-10,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR954S-000193,1,2021-05-13,2021-05-13,NA,2021-05-13,WF,0,2021,NA,NA,FALSE,TRUE
2021-ORMUPN-000188,15.89,2021-05-19,NA,NA,2021-06-01,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR954S-000243,3,2021-05-24,2021-05-24,NA,2021-05-25,WF,0,2021,NA,NA,FALSE,TRUE
2021-ORVAD-000056,0.1,2021-06-04,2021-06-04,NA,2021-07-07,WF,NA,2021,NA,NA,FALSE,TRUE
2021-ORNMAN-000281,500.08,NA,NA,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR954S-000300,1.05,NA,NA,NA,2021-06-10,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR954S-000310,1,2021-06-13,2021-06-13,NA,2021-07-04,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR954S-000311,8.62,2021-06-13,2021-06-16,NA,2021-06-16,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR954S-000312,0.54,2021-06-13,2021-06-13,NA,2021-06-15,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR954S-000313,0.23,2021-06-13,2021-06-13,NA,2021-06-15,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021096,0.09,2021-06-17,2021-06-17,NA,2021-06-23,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021099,0.87,2021-06-18,2021-06-19,NA,2021-06-23,WF,0,2021,NA,NA,FALSE,TRUE
2021-ORPRD-000336,0.8,2021-06-21,2021-06-21,NA,2021-06-25,WF,0,2021,NA,NA,FALSE,TRUE
2021-ORVAD-000081,1,2021-06-23,2021-06-23,NA,2021-07-07,WF,NA,2021,NA,NA,FALSE,TRUE
2021-OR952S-021117,2.03,2021-06-24,2021-06-24,NA,2021-06-29,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021126,17.81,2021-06-27,2021-06-27,NA,2021-07-03,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021116,0.93,2021-06-24,2021-06-24,NA,2021-06-27,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR981S-210278,34.82,2021-06-28,2021-06-28,NA,2021-07-23,WF,0,2021,NA,NA,FALSE,TRUE
2021-ORNMAN-000408,565.46,NA,NA,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-ORREDN-000422,1,NA,NA,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR954S-000396,5798.1,NA,NA,Type 4 Incident,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021160,367.66,2021-07-12,2021-07-19,Type 5 Incident,2021-10-13,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021165,163.37,2021-07-07,2021-07-07,NA,2021-08-01,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021169,0.15,2021-07-01,2021-07-01,NA,2021-07-07,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR954S-000422,986.74,NA,NA,Type 5 Incident,2021-07-05,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021177,0.27,2021-07-02,2021-07-02,NA,2021-07-09,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021148,0.11,2021-07-01,NA,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021187,541.47,2021-07-10,2021-07-12,Type 5 Incident,2021-08-06,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR982S-210314,0.96,NA,NA,NA,2021-08-02,WF,0,2021,NA,NA,FALSE,TRUE
2021-ORVAD-000121,1,2021-07-06,2021-07-06,NA,2021-08-20,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR954S-000467,28.56,2021-07-07,2021-07-07,NA,2021-07-10,WF,0,2021,NA,NA,FALSE,TRUE
2021-ORBUD-002159,0.1,2021-06-22,2021-06-22,NA,2021-06-22,WF,0,2021,NA,NA,FALSE,TRUE
2021-ORJEFN-000574,0.1,NA,NA,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR954S-000579,1.23,2021-07-17,2021-08-06,NA,2021-08-06,WF,0,2021,NA,NA,FALSE,TRUE
2021-ORPRD-000630,1,NA,NA,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-ORVAD-000167,0.25,2021-07-24,2021-07-24,NA,2021-08-20,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR712S-020922,0.03,2021-07-28,2021-07-28,NA,2021-08-07,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021277,0.02,2021-07-30,2021-07-30,NA,2021-08-03,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021279,158.53,2021-08-07,2021-08-07,Type 5 Incident,2021-10-13,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021299,0.05,2021-08-03,2021-08-03,NA,2021-08-04,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR981S-210391,84.38,2021-08-14,2021-08-14,Type 1 Incident,2021-10-22,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR981S-210394,75.3,NA,NA,Type 1 Incident,2021-10-22,WF,0,2021,NA,NA,FALSE,TRUE
2021-ORROD-000488,117.3815,2021-08-02,2021-10-15,Type 1 Incident,2021-10-31,WF,0,2021,NA,NA,FALSE,TRUE
2015-ORWIF-000171,0,2015-07-10,2015-07-10,NA,2015-07-13,WF,0,2015,NA,NA,FALSE,TRUE
2022-ORRSF-000057,0.1,2022-06-06,2022-06-06,NA,2022-06-06,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022091,0.08,2022-06-30,2022-06-30,NA,2022-07-01,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORVAD-000073,1.9,2022-07-04,2022-07-04,NA,2022-08-01,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORPRD-000296,0.1,2022-07-03,2022-07-04,NA,2022-07-04,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORPRD-000307,0.1,2022-07-03,2022-07-03,NA,2022-07-05,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORVAD-000072,0.01,2022-07-04,2022-07-04,NA,2022-08-28,WF,NA,2022,NA,NA,FALSE,TRUE
2022-ORPRD-000341,0.01,2022-07-08,2022-07-08,NA,2022-07-15,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORBENN-000436,1.4,NA,NA,NA,2022-07-26,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022124,0.36,2022-07-30,2022-07-30,NA,2022-08-04,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORRFPN-002294,2.34,2022-07-30,2022-07-30,NA,2022-08-05,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR981S-220191,50.95,NA,NA,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORUPF-000234,1006.9077,2022-10-07,2022-10-07,Type 3 Incident,2023-02-01,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR955S-000491,2.95,NA,2022-08-04,NA,2022-08-12,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORMAF-022131,154.8917,2022-08-12,2022-10-16,Type 4 Incident,2022-10-27,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORFWF-220229,0.11,2022-08-02,2022-08-02,NA,2022-08-06,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022138,0.11,2022-08-03,2022-08-03,NA,2022-08-05,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORDEF-000552,0.63,2022-08-04,2022-08-04,NA,2022-08-08,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022142,0,2022-08-04,2022-08-04,NA,2022-08-06,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORJEFN-000565,3.16,2022-08-06,NA,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORMAF-002323,3,2022-08-09,2022-08-10,NA,2022-08-14,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022159,0.03,2022-08-09,2022-08-09,NA,2022-08-13,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022164,0.02,2022-08-10,2022-08-10,NA,2022-08-10,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR955S-000641,0.04,2022-08-10,2022-08-12,NA,2022-08-12,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR955S-000589,0.02,2022-08-09,2022-08-09,NA,2022-08-11,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR951S-000704,7.56,2022-08-12,2022-08-15,NA,2022-09-13,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORUPF-000312,12.28,2022-08-20,NA,Type 2 Incident,2022-10-27,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR955S-000775,10.47,2022-08-21,2022-11-01,NA,2022-11-01,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR955S-000781,0.01,2022-08-20,2022-08-20,NA,2022-08-23,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR955S-000770,0.12,2022-08-20,2022-08-23,NA,2022-08-23,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORMAF-022199,4333.3244,2022-10-27,2022-11-21,Type 5 Incident,2022-11-21,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022205,0,2022-08-22,2022-08-22,NA,2022-08-25,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022215,2.84,2022-08-24,2022-08-25,NA,2022-08-30,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR974S-000367,60.64,2022-08-25,2022-08-28,NA,2022-08-28,WF,0,2022,NA,NA,FALSE,TRUE
