,species,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,eventDate,year,basisOfRecord,license,issue
1,Quercus garryana,45.70147,-121.48198,14,2025-05-16T12:54:42,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
2,Quercus garryana,45.546672,-122.884842,13,2021-09-16T14:42:01,2021,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
3,Quercus garryana,43.982353,-123.094752,9,2025-05-18T15:34:33,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4,Xerophyllum tenax,45.350208,-121.74565,4,2020-07-28T20:04:38,2020,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5,Quercus garryana,45.694517,-122.835346,5,2025-07-15T09:16:46,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6,Thuja plicata,45.112756,-121.776,4,2025-11-01T12:57:47,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7,Quercus garryana,42.231838,-123.664597,4,2023-08-17T08:43:26,2023,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
8,Xerophyllum tenax,45.532455,-122.0717,4,2025-06-02T13:36:10,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
9,Xerophyllum tenax,45.42828,-121.754412,3,2021-08-29T09:36:27,2021,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
10,Populus trichocarpa,45.442188,-122.624107,9,2023-07-13T19:18:24,2023,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
11,Rubus ursinus,44.154226,-122.268992,6,2023-09-16T17:14:52,2023,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
12,Quercus garryana,44.051499,-123.081067,2,2025-12-06T16:09:20,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
13,Quercus garryana,43.263401,-123.466365,NA,2025-10-21T13:30,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
14,Quercus garryana,45.517373,-122.387733,NA,2024-08-05T15:57:34,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
