geometry,index,is_indigenous,n_fires,n_quercus,n_xerophyllum,n_thuja,n_populus,n_rubus,n_pinus,n_salix,plant_sum,hist_pinus,hist_salix,hist_quercus,hist_populus,hist_thuja,sum_pinus,sum_salix,sum_quercus,sum_populus,sum_thuja,total_sum,fire_lst,max_acres,min_mgmt,max_duration
"list(c(-124.302441002613, -124.252441002613, -124.252441002613, -124.302441002613, -124.302441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"list(c(-124.252441002613, -124.202441002613, -124.202441002613, -124.252441002613, -124.252441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,NA,0,NA,0
"list(c(-124.202441002613, -124.152441002613, -124.152441002613, -124.202441002613, -124.202441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"list(c(-124.152441002613, -124.102441002613, -124.102441002613, -124.152441002613, -124.152441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"list(c(-124.102441002613, -124.052441002613, -124.052441002613, -124.102441002613, -124.102441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"list(c(-124.052441002613, -124.002441002613, -124.002441002613, -124.052441002613, -124.052441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"list(c(-124.002441002613, -123.952441002613, -123.952441002613, -124.002441002613, -124.002441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"list(c(-123.952441002613, -123.902441002613, -123.902441002613, -123.952441002613, -123.952441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2023-CASRF-000939,89326,NA,14789.4711111111
"list(c(-123.902441002613, -123.852441002613, -123.852441002613, -123.902441002613, -123.902441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2023-CASRF-000939,89326,NA,14789.4711111111
"list(c(-123.852441002613, -123.802441002613, -123.802441002613, -123.852441002613, -123.852441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",10,0,1,0,2,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,2023-CASRF-000939,89326,NA,14789.4711111111
"list(c(-123.802441002613, -123.752441002613, -123.752441002613, -123.802441002613, -123.802441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",11,0,4,0,12,0,0,0,0,0,12,1,0,0,0,0,1,0,0,0,0,1,"2023-CASRF-000939, 2020-CAKNF-007035, 2020-CAKNF-007035, 2020-CAKNF-007035",157430,NA,14789.4711111111
"list(c(-123.752441002613, -123.702441002613, -123.702441002613, -123.752441002613, -123.752441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",12,0,4,2,1,0,0,0,0,0,3,1,0,0,0,0,1,0,2,0,0,3,"2023-CASRF-000939, 2020-CAKNF-007035, 2020-CAKNF-007035, 2020-CAKNF-007035",157430,NA,14789.4711111111
"list(c(-123.702441002613, -123.652441002613, -123.652441002613, -123.702441002613, -123.702441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",13,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,"2020-CAKNF-007035, 2020-CAKNF-007035, 2020-CAKNF-007035",157430,4,12270.2691666667
"list(c(-123.652441002613, -123.602441002613, -123.602441002613, -123.652441002613, -123.652441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",14,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,"2020-CAKNF-007035, 2020-CAKNF-007035, 2020-CAKNF-007035",157430,4,12270.2691666667
"list(c(-123.602441002613, -123.552441002613, -123.552441002613, -123.602441002613, -123.602441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2020-CAKNF-007035, 2020-CAKNF-007035, 2020-CAKNF-007035",157430,4,12270.2691666667
"list(c(-123.552441002613, -123.502441002613, -123.502441002613, -123.552441002613, -123.552441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",16,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2020-CAKNF-007035, 2020-CAKNF-007035, 2020-CAKNF-007035",157430,4,12270.2691666667
