geometry,index,is_indigenous,n_fires_mp,n_fires_pt,n_fires_tot,fire_lst,fire_lstmp,max_acresmp,min_mgmtmp,max_durationmp,fire_lstpt,max_acrespt,min_mgmtpt,max_durationpt,max_acres_tribal,max_acres,min_mgmt,max_duration,max_size_class,n_rx_mp,n_rx_pt,n_rx_tot,rx_lst,rx_lstmp,rx_max_acresmp,rx_min_mgmtmp,rx_max_durationmp,rx_lstpt,rx_max_acrespt,rx_min_mgmtpt,rx_max_durationpt,rx_max_acres_tribal,rx_max_acres,rx_min_mgmt,rx_max_duration,rx_max_size_class,n_quercus,n_xerophyllum,n_thuja,n_populus,n_rubus,n_pinus,n_salix,plant_sum,hist_pinus,hist_salix,hist_quercus,hist_populus,hist_thuja,sum_pinus,sum_salix,sum_quercus,sum_populus,sum_thuja,total_plant_sum
"list(c(-117.358167275567, -117.298674987835, -117.311038794511, -117.370569880624, -117.358167275567, 41.9475411353158, 41.9570010830376, 42.0007371389643, 41.9912688086326, 41.9475411353158))",1,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,0,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"list(c(-117.298674987835, -117.239167475303, -117.251492436504, -117.311038794511, -117.298674987835, 41.9570010830376, 41.9664291263784, 42.010173539951, 42.0007371389643, 41.9570010830376))",2,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,0,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"list(c(-117.239167475303, -117.179644779124, -117.191930847862, -117.251492436504, -117.239167475303, 41.9664291263784, 41.975825251391, 42.0195779976013, 42.010173539951, 41.9664291263784))",3,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,0,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"list(c(-117.179644779124, -117.120106940566, -117.132354069962, -117.191930847862, -117.179644779124, 41.975825251391, 41.9851894441627, 42.0289504979591, 42.0195779976013, 41.975825251391))",4,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,0,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"list(c(-117.120106940566, -117.060554001019, -117.072762144305, -117.132354069962, -117.120106940566, 41.9851894441627, 41.994521690816, 42.0382910271028, 42.0289504979591, 41.9851894441627))",5,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,0,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"list(c(-117.060554001019, -117.00098600199, -117.013155112508, -117.072762144305, -117.060554001019, 41.994521690816, 42.0038219775079, 42.047599571146, 42.0382910271028, 41.994521690816))",6,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,0,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"list(c(-117.608540685177, -117.549071096818, -117.561614771625, -117.62112303732, -117.608540685177, 41.9530764748863, 41.9626723819967, 42.0063719036997, 41.9967674978026, 41.9530764748863))",7,1,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,0,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"list(c(-117.549071096818, -117.489586072735, -117.502091022513, -117.561614771625, -117.549071096818, 41.9626723819967, 41.9722364160714, 42.0159444117332, 42.0063719036997, 41.9626723819967))",8,1,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,0,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"list(c(-117.489586072735, -117.430085653705, -117.442551830866, -117.502091022513, -117.489586072735, 41.9722364160714, 41.9817685629815, 42.0254850077299, 42.0159444117332, 41.9722364160714))",9,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,0,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"list(c(-117.430085653705, -117.370569880624, -117.382997237688, -117.442551830866, -117.430085653705, 41.9817685629815, 41.9912688086326, 42.0349936775509, 42.0254850077299, 41.9817685629815))",10,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,0,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"list(c(-117.370569880624, -117.311038794511, -117.323427284106, -117.382997237688, -117.370569880624, 41.9912688086326, 42.0007371389643, 42.0444704070917, 42.0349936775509, 41.9912688086326))",11,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,0,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"list(c(-117.311038794511, -117.251492436504, -117.263842011365, -117.323427284106, -117.311038794511, 42.0007371389643, 42.010173539951, 42.0539151822823, 42.0444704070917, 42.0007371389643))",12,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,0,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
